name,category,what_you_learn,skills,content
"Anatomy & Physiology: Regulation, Integration, & Control",Health,,"Medical Terminology, Endocrinology, Life Sciences, Biology, Clinical Practices, Neurology, Anatomy, Physiology","This course continues the systems-based approach to human anatomy and physiology at the organ, organ system, and organism level. Two major body systems related to regulation and integration of information will be explored in detail: the nervous and endocrine systems. Course material will cover both the structure (anatomy) and function (physiology) of each system with direct application to human development and disease."
Excel Essentials and Beyond,Data Science,"Navigate Excel with confidence, leveraging essential tools and techniques for efficient data organization and presentation.
Navigate Excel with confidence, leveraging essential tools and techniques for efficient data organization and presentation.
Utilize advanced functions, date-time manipulation, and lookup techniques for in-depth data analysis and visualization.
Utilize advanced functions, date-time manipulation, and lookup techniques for in-depth data analysis and visualization.
Design and implement dynamic dashboards, transforming complex data sets into insightful and actionable narratives.
Design and implement dynamic dashboards, transforming complex data sets into insightful and actionable narratives.
Master Pivot Tables, advanced charting methods, and visualization tools to extract and communicate critical insights effectively.
Master Pivot Tables, advanced charting methods, and visualization tools to extract and communicate critical insights effectively.","Data Presentation, Pivot Tables And Charts, Spreadsheet Software, Excel Formulas, Data-Driven Decision-Making, Dashboard, Data Storytelling, Data Validation, Data Analysis, Data Cleansing, Data Visualization, Data Visualization Software","Dive into ""Excel Essentials and Beyond"", a comprehensive exploration of Excel, the world's leading spreadsheet tool. This course is thoughtfully crafted for both newcomers to Excel and also for those aiming for mastery.We begin by introducing Excel's robust interface and foundational features, ensuring a firm grasp of data organization techniques. As you advance, you'll delve into data visualization, transforming raw data into captivating stories.

The course reveals advanced data manipulation. Explore temporal data handling for data-centric analyses, and harness the power of Excel's dynamic lookup functions. Visualization takes center stage as you learn to craft compelling charts, and the intricacies of Pivot Tables and Charts are demystified, setting the stage for deep data exploration.

The concluding modules focus on designing dynamic dashboards, essential for today's decision-makers. By the course's end, you'll be equipped not just to use Excel, but to leverage its vast capabilities for influential data-driven outcomes.

Disclaimer: This course is an independent educational resource developed by Board Infinity and is not affiliated with, endorsed by, sponsored by, or officially associated with Microsoft Corporation or any of its subsidiaries or affiliates. This course is not an official preparation material of Microsoft Corporation. All trademarks, service marks, and company names mentioned are the property of their respective owners and are used for identification purposes only."
Project Execution: Running the Project,Business,"Implement the key quality management concepts of quality standards, quality planning, quality assurance, and quality control.
Implement the key quality management concepts of quality standards, quality planning, quality assurance, and quality control.
Demonstrate how to prioritize and analyze data and how to communicate a project’s data-informed story.
Demonstrate how to prioritize and analyze data and how to communicate a project’s data-informed story.
Discuss the stages of team development and how to manage team dynamics.
Discuss the stages of team development and how to manage team dynamics.
Describe the steps of the closing process and create project closing documentation.
Describe the steps of the closing process and create project closing documentation.","Continuous Improvement Process, Data Storytelling, Project Closure, Stakeholder Communications, Data-Driven Decision-Making, Project Controls, Project Management, Team Management, Strategic Thinking, Communication Strategies, Project Management Life Cycle, Meeting Facilitation, Risk Management, Project Documentation, Quality Assessment, Quality Management, Project Risk Management","In Course 4 of the Google Project Management Certificate program, you will delve into the execution and closing phases of the project life cycle. You will learn what aspects of a project to track and how to track them. You will also learn how to effectively manage and communicate changes, dependencies, and risks. As you explore quality management, you will learn how to measure customer satisfaction and implement continuous improvement and process improvement techniques. Next, you will examine how to prioritize data, how to use data to inform your decision-making, and how to effectively present that data. Then, you will strengthen your leadership skills as you study the stages of team development and how to manage team dynamics. After that, you will discover tools that provide effective project team communication, how to organize and facilitate meetings, and how to effectively communicate project status updates. Finally, you will examine the steps of the project closing process and how to create and share project closing documentation. Current Google project managers will continue to instruct you in how to accomplish all of these tasks, describing the right tools and resources for the job at hand.Learners who complete this program should be equipped to apply for introductory-level jobs as project managers. No previous experience is necessary.

By the end of this course, you will be able to: 
 - Identify what aspects of a project to track and compare different tracking methods.
 - Discuss how to effectively manage and communicate changes, dependencies, and risks.
 - Explain the key quality management concepts of quality standards, quality planning, quality assurance, and quality control.
 - Describe how to create continuous improvement and process improvement and how to measure customer satisfaction.
 - Explain the purpose of a retrospective and describe how to conduct one. 
 - Demonstrate how to prioritize and analyze data and how to communicate a project’s data-informed story. 
 - Identify tools that provide effective project team communication and explore best practices for communicating project status updates.
 - Describe the steps of the closing process for stakeholders, the project team, and project managers."
Taxation of Multinationals for Everyone,Business,"Participants will gain a comprehensive understanding of corporate tax systems and the OECD's work on the Base Erosion and Profit Shifting project.
Participants will gain a comprehensive understanding of corporate tax systems and the OECD's work on the Base Erosion and Profit Shifting project.","Income Tax, Tax Planning, Tax, Corporate Tax, Tax Compliance, International Finance, Tax Laws","Curious about the global debate on whether multinationals pay their fair share of taxes? This course from Leiden University is designed to demystify international tax planning for all learners — whether you're a beginner or an expert. Over five modules, you'll explore the principles of multinational taxation, understand the strategies companies use to minimize taxes, and examine the international and domestic laws governing these practices. The course also delves into the measures taken to counter tax avoidance. With expert interviews and concise video lectures, you’ll gain a comprehensive understanding of the key issues in multinational taxation."
Creating Change through Social Entrepreneurship,Business,,"Advocacy, Entrepreneurship, Design Thinking, Research and Design, Fundraising, Performance Metric, Stakeholder Engagement, Innovation, Organizational Structure, Social Sciences, Sustainable Development, Verbal Communication Skills, Business Modeling, Community Outreach","Have you ever wondered what it would be like to create real change? You don't have to start your own organization to make a difference in the world. Everyone can learn the social entrepreneurship mindset and skillset to build social impact. In this course, you will immerse yourself in a social or environmental challenge you want to tackle. You'll start by researching your topic of choice, talking to people, and ideating a potential solution that you can contribute. Then, you'll build a business model around that solution, understanding concepts like measuring social change, ensuring financial viability, funding and pitching. This course is a safe space to experiment and explore. You'll be guided by a ten stage framework to help structure your journey. Along the way, you'll hear from social entrepreneurs around the world through case studies and campus conversations. These include Yale alumni, members of the New Haven community, and global changemakers. Everyone is welcome to join this course! You can apply your lived, learned, or professional experience to discover how you're going to make a difference."
Transforming Exploratory Data Analysis with AI,Data Science,,"Artificial Intelligence, Data-Driven Decision-Making, Pandas (Python Package), Generative AI, Automation, Exploratory Data Analysis, OpenAI, Descriptive Statistics, Data Processing, Data Visualization Software, Responsible AI","Picture this: You’re a data scientist working for a non-profit organization responding to a natural disaster. You’ve been tasked with analyzing data from multiple sources—satellite imagery, social media posts, and relief agency reports—to identify the most affected areas and allocate resources efficiently. The problem? The data is massive, unstructured, and needs to be processed in real-time. So, with the help of Generative AI, you automate the analysis, summarize critical insights, and create actionable visualizations in hours—saving precious time and ensuring aid reaches those in need faster.This short course was created to help you tackle challenges like these. You’ll learn how to use Generative AI to streamline exploratory data analysis (EDA), automate repetitive processes, and extract meaningful insights efficiently. Whether you’re managing data during a crisis or optimizing daily workflows, this course equips you with practical tools to work smarter, not harder.

By completing this course, you’ll gain the skills to immediately apply Generative AI to your data workflows. Automate time-intensive tasks, critically evaluate AI-generated outputs for accuracy, and implement strategies from real-world case studies to make impactful decisions.

By the end of this 3-hour course, you will be able to:
- Recognize the key capabilities of Generative AI in improving and automating exploratory data analysis (EDA) workflows.
- Apply Generative AI tools to automate repetitive tasks in EDA, such as summarizing datasets or generating descriptive statistics.
- Analyze outputs generated by Generative AI for accuracy and relevance to ensure ethical and unbiased use in EDA.
- Evaluate case studies of Generative AI applications to identify strategies for integrating AI into real-world exploratory data analysis tasks EDA.

This course is unique because it integrates practical examples from diverse fields, from disaster response to e-commerce, to illustrate the power of Generative AI. With hands-on practice and a focus on ethical AI use, you’ll not only master the tools but also gain the confidence to apply them responsibly.

To be successful in this course, you should have:
- A foundational understanding of data analysis concepts.
- Familiarity with programming tools like Python.
- Some experience with AI platforms such as GitHub Copilot or OpenAI  will be helpful but  it is not mandatory.

This course uses a combination of assessments, including practice quizzes in every lesson to reinforce key takeaways, a hands-on activity using an AI tool  to process and analyze a sample dataset, and a final graded assessment to evaluate your understanding of all course concepts.

To get the most out of this course, approach it with curiosity and a willingness to experiment. Engage deeply with the lessons, complete the activities, and apply the techniques to your own projects. By the end, you’ll have the skills and confidence to transform how you approach exploratory data analysis!"
Introduction to Risk Management,Business,"Differentiate between financial and business risks
Differentiate between financial and business risks
Examine the key concepts and factors of risk measurement
Examine the key concepts and factors of risk measurement
Understand the application of risk modeling
Understand the application of risk modeling
Understand the principles of risk management
Understand the principles of risk management","Probability Distribution, Enterprise Risk Management (ERM), Risk Analysis, Investment Management, Financial Modeling, Portfolio Management, Capital Markets, Market Liquidity, Financial Market, Finance, Financial Regulation, Risk Modeling, Business Risk Management, Risk Management, Operational Risk, Credit Risk","What is risk? Why do firms manage risk? In this course, you will be introduced to the different types of business and financial risks, their sources, and best practice methods for measuring risk. This course will help you gauge different risk types and set risk limits, describe the key factors that drive each type of risk, and identify the steps needed to choose probability distributions to estimate risk. You will explore the history and development of risk management as a science, and financial and business trends that have shaped the practice of risk management. By the end of the course, you will have the essential knowledge to measure, assess, and manage risk in your organization.To be successful in this course, you should have a basic knowledge of statistics and probability and familiarity with financial instruments (stocks, bonds, foreign exchange, etc). Experience with MS Excel recommended."
Anatomy & Physiology: Filtration and Reproduction,Health,,"Urinalysis, Biology, Physiology, Nephrology, Pathology, Gynecology, Anatomy, Urology, Obstetrics And Gynecology","This course of the second A&P specialization concludes with a systems-based approach to human anatomy and physiology at the organ, organ system, and organism level with the major body systems related to blood filtration and continuity of life: the urinary and reproductive systems. Course material will cover both the structure (anatomy) and function (physiology) of each system with direct application to human development and disease.After completing this course, you will be able to:
1. Identify the major parts of the urinary and reproductive systems;
2. Describe normal human anatomy structure and function for the urinary and reproductive systems;
3. Relate anatomical structure and function at the cellular, tissue, organ, and body system levels to clinical diagnoses and dysfunction of the urinary system; and
4. Explain the process of typical human gestation and delivery."
Fundamentals of Red Hat Enterprise Linux,Information Technology,"Red Hat Enterprise Linux Command Line Essentials
Red Hat Enterprise Linux Command Line Essentials
Getting Help in Red Hat Enterprise Linux
Getting Help in Red Hat Enterprise Linux
File Management from the Command Line
File Management from the Command Line
Process Management and Systemd
Process Management and Systemd","Red Hat Enterprise Linux, Linux Commands, Linux, Open Source Technology, General Networking, Linux Administration, System Monitoring, File Management, Firewall, Operating System Administration, Package and Software Management, OS Process Management, Unix Shell, User Accounts, Command-Line Interface, Linux Servers","This course will provide you with a basic introduction to Linux® skills using Red Hat® Enterprise Linux 9. It will show you how a Linux system is organized and will demonstrate introductory system administration tasks.The course highlights the significance of Linux and the open source development framework in the current IT landscape. Linux systems are omnipresent, powering the internet, retail point-of-sale setups, global stock exchanges, and more. You'll find Linux at the heart of smart TVs, airplane entertainment setups, and the majority of leading supercomputers worldwide.

Learning Linux offers numerous advantages. In the IT sector, proficiency in Linux is highly sought after. Whether you're an app developer, working with cloud-based solutions, engaged in mobile or edge computing projects, or dealing with Windows systems requiring Linux interoperability, Linux knowledge is crucial.

Upon completing this course, participants will have a foundational understanding of operating Linux through the command line, with Red Hat Enterprise Linux 9 serving as the basis. These skills are vital for carrying out basic operational tasks, whether on a local Linux machine or a remote system accessed via the Internet."
Effective Compliance Programs,Business,"Recognize strategies for building a culture of compliance within an organization
Recognize strategies for building a culture of compliance within an organization
Identify the fundamental components of a compliance program
Identify the fundamental components of a compliance program
Identify techniques and methods for compliance management and provide psychological theories that explain why they are effective
Identify techniques and methods for compliance management and provide psychological theories that explain why they are effective
Devise strategies for managing noncompliance and incident response
Devise strategies for managing noncompliance and incident response","Strategic Planning, Culture Transformation, Continuous Monitoring, Compliance Training, Psychology, Compliance Management, Industrial and Organizational Psychology, Ethical Standards And Conduct, Procedure Development, Internal Communications","Once you have an understanding of what compliance is, and why it may be important, it is natural to wonder next, “What should I do about it?”  In this course, we’ll explore one of the key factors for creating a positive culture of compliance: human psychology. We’ll think about what drives us, what makes us pay attention, what distracts, and how all of these pieces help build a strong belief in an organizational culture of compliance.We will examine formal compliance programs, diving into the nuances of how they are applied in practice. We’ll also explore the technologies, workflows, policies, monitoring, and training necessary to create a toolkit for designing an effective compliance program."
